source_id,hip
5814632793837143296,83072
6436320105822207104,90704
6391462848904588416,113706
6389209159305318784,117216
5272144584309859840,43414
5245312136915034240,49996
6436197922593597312,89817
4659856280006290560,27413
4671017147627175296,16903
5236791712101865088,55986
4660325324812203392,25713
6434744643098194944,93358
5821842330258712704,79108
5281965765765761024,32779
6400603363945103232,106501
5861438114844805248,62403
5281429582048119552,35129
5245399582452002560,49978
5813277753141516160,85716
5821863564577997312,79572
5239242764018730752,52217
6391994428417065856,112378
5239245409718713856,52286
5236447324439370496,57334
5822623700753909632,78772
5860588467228211968,60238
5860198690354944000,61646
5824932782589181568,74852
5284491859372487808,30515
5251255718823894912,51194
5860790743021513728,59985
6428248590964035456,97371
5240221569896904704,54151
4705059058415251200,6676
5246195044753390336,49695
5816518975988676608,83928
5872870149533217024,74047
4674893132274900736,21203
5825151482323741440,74712
6629467186007019648,89324
5240104437543186560,54727
5251410642570748288,51327
5822587592996196864,77785
4708121129579246336,2889
4711076067078935552,7030
5825168868352924672,75052
5240262080029483904,54194
4660884834444469760,26030
6449497718320945920,103437
6438274350302427776,92024
6428517627714404864,99043
6402209647354261632,106818
5251621302125090048,50932
6402236104352870528,106588
4672178472424450304,16098
6485626330377783680,117253
5828810244684584704,79468
4697137729972143872,12210
5276413197686812032,40509
5239869107704799744,52293
5241137222572708480,53164
6485790398128207488,118321
5861901112307520512,63411
4673698650329253248,16099
5909175542404326784,86935
5477592180251228672,28420
4700148983082925696,11479
4700676954822639488,10289
5273652736306903424,42229
5864867182422675072,65752
6485801565043224448,118096
4901096960829734912,519
6450327471641892352,103231
4675215254822170752,20555
5828846631649002496,79573
5276452161630022528,40926
4720282071779657600,13884
5909197257759619072,87076
5864217783344145536,66546
6630710841040299392,88170
4700136235619910912,11697
6440869060301828608,97799
6485715390819680768,117048
5873920939077146880,72379
5873231128600870016,73520
5241356128459735552,52830
5277219758184463488,39843
5297527909751086336,43760
6630594017927298688,89370
5859173945562774272,64896
5864979641806742656,66109
5282716972721787648,35502
5241387327103874304,52840
6486668529962289408,115472
4673947071237511552,16068
5240861416954963840,53992
6405618373918162560,108740
6405451351229549184,109976
5865064510371067904,66241
5297741215006909952,42796
5853199985254456320,71525
6405076177246407424,110593
4676447876075900928,19995
6441730763884468608,96209
6439435778178278656,92230
6429867037718370944,100799
6631060348296053888,89916
5252255484150883712,51138
4677033572176334848,21789
4721413263086465152,12900
5480937375656689408,28964
6430624562575465728,100761
5832221440828514688,78339
6453940398131321856,101637
5828703901298379392,80647
5854223463148564096,70133
5300847919471540352,42490
5910338001077330688,85353
5477471543206508544,31438
5334660925730151424,58326
5865679480878606464,66379
6633919456487937792,88939
5478054421808273280,29652
4713193107998294912,10100
5829336670249376768,78861
5334646460294760832,57907
6444773872769761152,95517
4721639002271136512,14512
5865694736636775936,66814
5818443018256145664,82202
5241766074516592512,53300
5827466813303655424,75914
5291948334912909312,36241
5291921018920173440,36772
5253264801466729728,49706
6054763114012786816,61033
5910795260475389824,85069
5818473353593232768,82079
6487137162433399680,116305
4713598278033272448,10284
4674430340958055296,17394
5830316128950431488,80642
5253847714419129600,51506
6454855844641047296,101078
6058542616529109376,58563
5286941365117300224,34826
5832660700072923264,77818
5335155014417546240,57973
4722668561767782912,16092
5289383689681472256,38240
5299141546145254528,46063
5290125035397963392,40182
6406854809102996352,111453
5913709374299865216,83944
5292390815325246976,36861
4715751740275722752,6910
5292252384236669568,36133
5868899194521806080,66838
4713507465244574464,9885
6058590685796933504,58921
5256974141370270592,48269
6632040940866929152,92744
6409473742721612544,108567
5878427837207195264,70939
6443078597637587584,99842
6454514102682514560,102645
6058584397964308992,59200
4715993838992279680,7921
6058023024225864064,60737
5914096303621755520,83990
5480073262596305920,32038
6057886482966255872,59981
6454954010413575296,101806
5290818758516639104,39070
6409963368992772480,107639
5913984428312720896,84900
6409416533757526656,108986
4903490464500519040,4011
6454974007781206400,102045
6488195614172613376,118069
5876459466539642880,73756
5290269140141447296,40690
5336064314886436608,56333
5481870861028496000,30736
5293282828494498688,35650
5912344231842000128,85910
5305249883008856576,47214
4728798648330489984,16637
5338148473537341312,53867
5833134761396419840,78036
5480341062396998784,33117
6055910694934899200,64314
6634773673939281152,90162
6488833640155725312,116275
4906008071250244480,1081
6445709591524620928,96678
5302503371669042688,42568
5833763956933820672,77130
6453186648549865984,104857
6410922899045409920,109682
5481952912083490304,30959
5302533230280879488,42729
5494534348761557888,29213
5831709210203971072,80577
6070916795257490688,59213
4764874312033052160,28134
6492239136904222592,114646
6059013482376373504,59653
4714994898318910592,9628
5292834403845151488,37563
6411028795760224384,109824
4681056169825333504,18041
5876063990349306240,75512
5350588691654545792,52106
6447118478236184960,97803
5305594786065150976,46456
5870658550635515776,67748
6494526018009832192,117431
5337891256535666176,54463
6494386689271932032,118106
5915146474672081024,83323
5917955005312096768,87673
5870303648880225792,66278
6062187875538306688,64582
6467419998370929792,101115
5482771807727582080,31137
5257782248057534208,47928
5880019139745622912,74086
6503406326752373632,112569
6062236185335301888,64580
6492335790848733952,114571
5303417615590144768,44195
4774452363980578176,22278
6062263707488134656,64620
4909376287682837120,6223
5918371204823347712,87619
4774984214074371968,21312
5871625330575587072,67100
5882204934544118528,76144
