id,name,x,y,z,vx,vy,vz,mag,ci,dist
12975,,27.291652,24.398441,-15.152709,0.00000238,-0.00000275,-0.00000818,6.47,0.398,39.6197
12994,,23.576033,21.127031,11.130776,-0.00000312,0.00002294,-0.00002307,6.9,0.68,33.557
13032,,17.881126,16.090521,13.176391,0.00001415,-0.00001703,0.0000016,11.07,1.462,27.4273
13046,,21.541105,19.414233,-6.038715,0.00000143,-0.00001118,-0.00003085,10.78,1.417,29.6209
13048,Gl 113A,16.293382,14.690255,11.211114,-0.00000846,0.00003485,-0.00000842,7.56,0.82,24.6366
13084,,23.81184,21.577085,0.019353,-0.00005174,0.00005709,0.00001219,11.69,1.46,32.1337
13085,Gl 113.1,26.555184,24.06372,21.630799,-0.00001723,0.00004256,-0.00003174,6.94,0.956,41.8585
13136,,13.066196,11.9035,23.475657,0.0000133,0.00002017,-0.00001763,8.29,0.845,29.3858
13148,,7.90568,7.21799,40.017889,0.00002782,0.00002119,-0.00000932,9.77,1.169,41.425
13185,,5.725956,5.254333,-10.365203,0.0000236,0.00001165,0.00001894,10.72,1.51,12.955
13221,16    Per,21.366064,19.67884,22.955795,-0.00000661,0.00004165,-0.00000646,4.22,0.343,37.0233
13224,Gl 114,16.094129,14.827182,6.155124,-0.00003477,0.00001884,-0.00004889,8.87,1.194,22.7324
13257,,30.258447,27.988111,24.07295,-0.00001393,0.00002722,-0.00000399,7.56,0.584,47.7327
13308,,19.939107,18.547099,5.11841,0.00001355,-0.00000954,-0.00001824,10.01,1.19,27.7085
13311,,22.163125,20.620647,-4.399705,-0.00000323,0.00000318,-0.00000136,9.82,1.216,30.5904
13323,,20.835919,19.407105,-34.435177,-0.0000333,0.00005701,0.00001198,10.48,1.197,44.6828
13325,,14.522507,13.528591,-36.734799,-0.00000292,0.00003769,0.00001272,8.86,0.851,41.7537
13329,,20.444844,19.054692,-16.669762,-0.00000188,0.00002477,0.00001003,6.38,0.484,32.5415
13341,Gl 116,8.809932,8.223946,8.248817,-0.00004734,0.00005215,-0.00008417,9.6,1.315,14.6049
13354,GJ 3187,14.925578,13.958334,-13.50063,0.00000336,0.00007335,-0.00003345,8.09,0.827,24.4918
13356,Gl 118,3.770908,3.527811,-10.438969,0.00001667,0.00009128,-0.00007039,11.36,1.549,11.6455
13360,,9.977113,9.334801,27.296304,-0.00001089,0.00002588,-0.00001768,6.78,0.574,30.525
13364,GJ 3186,17.994449,16.841432,12.544301,0.00000937,0.00001059,-0.00002767,10.86,1.26,27.6549
13368,Gl 117,7.367728,6.902771,-2.288171,-0.00000151,0.00002596,-0.00001353,6.05,0.862,10.352
13375,,32.141107,30.146692,4.411862,0.00001627,-0.00000796,-0.00006413,10.32,1.034,44.287
13377,,30.824525,28.91752,-25.963497,-0.00001981,0.00003958,0.00002057,8.51,0.636,49.6032
13378,,21.202777,19.891572,1.666437,-0.00000986,0.00001059,-0.00000096,12.08,1.456,29.1206
13426,GJ 3185,12.767421,12.042815,31.472401,-0.00002983,0.000002,-0.00007017,9.16,1.057,36.036
13479,Gl 118.1A,16.987729,16.127295,-16.958896,-0.00005686,0.00004574,-0.00002305,8.23,0.933,28.9184
13494,,22.819699,21.699636,28.945058,-0.00000602,0.00005122,0.00000489,6.88,0.537,42.7716
13560,,25.873218,24.801768,-5.034477,-0.00002491,0.00002546,-0.00000259,8.33,0.735,36.1925
13566,,33.875184,32.505398,15.156339,-0.0000188,0.000021,-0.000003,8.83,0.704,49.334
13567,,18.554556,17.807186,7.524673,-0.00001708,0.00002029,-0.00000589,7.41,0.749,26.7953
13576,,18.91634,18.16972,-12.356358,-0.00003536,0.00002748,-0.00001373,11.38,1.4,28.9939
13608,Gl 118.2A,15.095318,14.533015,10.618342,0.00000725,0.00004851,-0.00000475,7.52,0.953,23.4907
13610,,23.979124,23.093273,17.798102,-0.00002519,0.00004479,-0.00002419,11.05,1.399,37.7501
13619,,24.107352,23.239303,22.990075,-0.00000681,0.00002384,-0.00001695,10.35,1.21,40.6174
13631,GJ 3188,9.163556,8.845178,23.477607,-0.00000532,0.00002097,0.00002815,5.59,0.445,26.7094
